"Area","Migration","SimRich","ModelRich"
170,0.033,15.59,17.15
180,0.033,15.8,18.16
190,0.033,16.66,19.16
200,0.033,16.77,20.17
10,0.034,1.85,1.01
20,0.034,3.34,2.02
30,0.034,4.74,3.03
40,0.034,6.06,4.03
50,0.034,6.94,5.04
60,0.034,7.9,6.05
70,0.034,8.82,7.06
80,0.034,9.37,8.07
90,0.034,10.47,9.08
100,0.034,10.93,10.09
110,0.034,11.79,11.1
120,0.034,12.59,12.11
130,0.034,13.37,13.11
140,0.034,14.23,14.12
150,0.034,14.31,15.13
160,0.034,15.24,16.14
170,0.034,15.89,17.15
180,0.034,16.16,18.16
190,0.034,16.32,19.17
200,0.034,16.88,20.18
10,0.035,1.81,1.01
20,0.035,3.34,2.02
30,0.035,4.66,3.03
40,0.035,5.95,4.04
50,0.035,7.13,5.04
60,0.035,8.02,6.05
70,0.035,9.37,7.06
80,0.035,10.16,8.07
90,0.035,10.54,9.08
100,0.035,11.57,10.09
110,0.035,12.26,11.1
120,0.035,12.95,12.11
130,0.035,13.26,13.12
140,0.035,14.1,14.13
150,0.035,14.53,15.13
160,0.035,15.04,16.14
170,0.035,15.46,17.15
180,0.035,16.08,18.16
190,0.035,16.75,19.17
200,0.035,16.79,20.18
10,0.036,1.92,1.01
20,0.036,3.3,2.02
30,0.036,4.9,3.03
40,0.036,6.13,4.04
50,0.036,7.11,5.04
60,0.036,8.11,6.05
70,0.036,9.39,7.06
80,0.036,9.92,8.07
90,0.036,10.9,9.08
100,0.036,11.72,10.09
110,0.036,12.44,11.1
120,0.036,12.87,12.11
130,0.036,13.2,13.12
140,0.036,14.32,14.13
150,0.036,14.49,15.14
160,0.036,15.06,16.15
170,0.036,16.16,17.15
180,0.036,16.41,18.16
190,0.036,16.81,19.17
200,0.036,17.69,20.18
10,0.037,1.93,1.01
20,0.037,3.49,2.02
30,0.037,4.74,3.03
40,0.037,6.21,4.04
50,0.037,7.38,5.05
60,0.037,7.94,6.05
70,0.037,9.26,7.06
80,0.037,9.94,8.07
90,0.037,10.63,9.08
100,0.037,11.07,10.09
110,0.037,12.23,11.1
120,0.037,13.23,12.11
130,0.037,13.66,13.12
140,0.037,14.03,14.13
150,0.037,15.08,15.14
160,0.037,15.49,16.15
170,0.037,15.9,17.16
180,0.037,16.23,18.17
190,0.037,17.14,19.18
200,0.037,17.61,20.19
10,0.038,1.8,1.01
20,0.038,3.62,2.02
30,0.038,4.94,3.03
40,0.038,6.17,4.04
50,0.038,7.22,5.05
60,0.038,8.21,6.06
70,0.038,9.54,7.07
80,0.038,10.03,8.07
90,0.038,10.47,9.08
100,0.038,11.67,10.09
110,0.038,12.75,11.1
120,0.038,12.86,12.11
130,0.038,13.51,13.12
140,0.038,14.65,14.13
150,0.038,15.21,15.14
160,0.038,15.5,16.15
170,0.038,16.17,17.16
180,0.038,16.34,18.17
190,0.038,16.66,19.18
200,0.038,17.52,20.19
10,0.039,2.04,1.01
20,0.039,3.43,2.02
30,0.039,4.82,3.03
40,0.039,6.14,4.04
50,0.039,7.28,5.05
60,0.039,8.35,6.06
70,0.039,9.38,7.07
80,0.039,10.33,8.08
90,0.039,10.91,9.09
100,0.039,11.93,10.1
110,0.039,12.45,11.1
120,0.039,13.34,12.11
130,0.039,13.44,13.12
140,0.039,14.66,14.13
150,0.039,15.42,15.14
160,0.039,15.71,16.15
170,0.039,16,17.16
180,0.039,16.75,18.17
190,0.039,17.13,19.18
200,0.039,17.3,20.19
10,0.04,1.78,1.01
20,0.04,3.46,2.02
30,0.04,5.18,3.03
40,0.04,6.26,4.04
50,0.04,7.3,5.05
60,0.04,8.36,6.06
70,0.04,9.36,7.07
80,0.04,10.22,8.08
90,0.04,11.15,9.09
100,0.04,11.86,10.1
110,0.04,12.5,11.11
120,0.04,13.13,12.12
130,0.04,13.45,13.13
140,0.04,14.97,14.14
150,0.04,15.36,15.15
160,0.04,15.53,16.15
170,0.04,16.53,17.16
180,0.04,16.43,18.17
190,0.04,17.12,19.18
200,0.04,17.54,20.19
10,0.041,1.89,1.01
20,0.041,3.77,2.02
30,0.041,4.87,3.03
40,0.041,6.21,4.04
50,0.041,7.4,5.05
60,0.041,8.44,6.06
70,0.041,9.81,7.07
80,0.041,10.41,8.08
90,0.041,11.09,9.09
100,0.041,11.78,10.1
110,0.041,12.62,11.11
120,0.041,13.22,12.12
130,0.041,14.34,13.13
140,0.041,14.74,14.14
150,0.041,15.16,15.15
160,0.041,15.46,16.16
170,0.041,16.35,17.17
180,0.041,16.74,18.18
190,0.041,17.32,19.19
200,0.041,17.7,20.2
10,0.042,1.89,1.01
20,0.042,3.63,2.02
30,0.042,5.13,3.03
40,0.042,6.34,4.04
50,0.042,7.64,5.05
60,0.042,8.27,6.06
70,0.042,9.02,7.07
80,0.042,10.73,8.08
90,0.042,11.08,9.09
100,0.042,11.92,10.1
110,0.042,12.66,11.11
120,0.042,13.42,12.12
130,0.042,13.71,13.13
140,0.042,14.58,14.14
150,0.042,15.36,15.15
160,0.042,15.67,16.16
170,0.042,16.22,17.17
180,0.042,16.8,18.18
190,0.042,16.87,19.19
200,0.042,17.49,20.2
10,0.043,1.93,1.01
20,0.043,3.61,2.02
30,0.043,5.15,3.03
40,0.043,6.45,4.04
50,0.043,7.37,5.05
60,0.043,8.64,6.06
70,0.043,9.25,7.07
80,0.043,10.18,8.08
90,0.043,11.35,9.09
100,0.043,11.94,10.1
110,0.043,12.69,11.11
120,0.043,13.41,12.12
130,0.043,14.07,13.13
140,0.043,14.71,14.14
150,0.043,15.29,15.15
160,0.043,16.33,16.16
170,0.043,16.69,17.17
180,0.043,17.03,18.18
190,0.043,17.49,19.19
200,0.043,17.8,20.2
10,0.044,2,1.01
20,0.044,3.74,2.02
30,0.044,5.1,3.03
40,0.044,6.51,4.04
50,0.044,7.72,5.05
60,0.044,8.85,6.06
70,0.044,9.57,7.07
80,0.044,10.36,8.08
90,0.044,10.95,9.09
100,0.044,12.32,10.1
110,0.044,12.77,11.11
120,0.044,13.01,12.12
130,0.044,14.08,13.13
140,0.044,14.74,14.14
150,0.044,15.52,15.15
160,0.044,15.68,16.16
170,0.044,16.01,17.17
180,0.044,17.13,18.18
190,0.044,17.45,19.19
200,0.044,18.05,20.2
10,0.045,2.07,1.01
20,0.045,3.83,2.02
30,0.045,5.26,3.03
40,0.045,6.53,4.04
50,0.045,7.82,5.05
60,0.045,8.89,6.06
70,0.045,9.77,7.07
80,0.045,10.3,8.08
90,0.045,11.33,9.09
100,0.045,12.19,10.1
110,0.045,12.78,11.11
120,0.045,13.55,12.12
130,0.045,14.27,13.13
140,0.045,14.67,14.14
150,0.045,15.6,15.16
160,0.045,15.87,16.17
170,0.045,16.38,17.18
180,0.045,16.63,18.19
190,0.045,17.08,19.2
200,0.045,18,20.21
10,0.046,2.04,1.01
20,0.046,3.5,2.02
30,0.046,5.01,3.03
40,0.046,6.44,4.04
50,0.046,7.81,5.05
60,0.046,8.66,6.06
70,0.046,9.77,7.07
80,0.046,10.85,8.08
90,0.046,11.61,9.09
100,0.046,12.56,10.1
110,0.046,13.07,11.11
120,0.046,13.61,12.13
130,0.046,13.58,13.14
140,0.046,14.58,14.15
150,0.046,15.51,15.16
160,0.046,16.1,16.17
170,0.046,16.27,17.18
180,0.046,17.33,18.19
190,0.046,17.81,19.2
200,0.046,17.84,20.21
10,0.047,2.04,1.01
20,0.047,3.73,2.02
30,0.047,5.08,3.03
40,0.047,6.39,4.04
50,0.047,7.74,5.05
60,0.047,8.7,6.06
70,0.047,9.74,7.07
80,0.047,10.46,8.08
90,0.047,11.68,9.09
100,0.047,12.03,10.11
110,0.047,12.95,11.12
120,0.047,13.73,12.13
130,0.047,13.9,13.14
140,0.047,15.14,14.15
150,0.047,15.13,15.16
160,0.047,15.88,16.17
170,0.047,16.66,17.18
180,0.047,17.19,18.19
190,0.047,17.55,19.2
200,0.047,17.99,20.21
10,0.048,2.08,1.01
20,0.048,3.48,2.02
30,0.048,5.25,3.03
40,0.048,6.61,4.04
50,0.048,8.18,5.05
60,0.048,8.9,6.06
70,0.048,9.65,7.07
80,0.048,10.67,8.09
90,0.048,11.59,9.1
100,0.048,12.61,10.11
110,0.048,12.7,11.12
120,0.048,13.78,12.13
130,0.048,14.21,13.14
140,0.048,15.06,14.15
150,0.048,15.89,15.16
160,0.048,15.98,16.17
170,0.048,16.94,17.18
180,0.048,17.29,18.19
190,0.048,17.78,19.2
200,0.048,18.14,20.21
10,0.049,2,1.01
20,0.049,3.72,2.02
30,0.049,5.3,3.03
40,0.049,6.32,4.04
50,0.049,7.7,5.05
60,0.049,8.72,6.06
70,0.049,9.99,7.08
80,0.049,11.02,8.09
90,0.049,11.75,9.1
100,0.049,12.38,10.11
110,0.049,12.84,11.12
120,0.049,13.65,12.13
130,0.049,14.54,13.14
140,0.049,15.03,14.15
150,0.049,15.85,15.16
160,0.049,16.25,16.17
170,0.049,16.62,17.18
180,0.049,17.14,18.2
190,0.049,17.83,19.21
200,0.049,18.81,20.22
10,0.05,2.04,1.01
20,0.05,3.86,2.02
30,0.05,5.29,3.03
40,0.05,6.79,4.04
50,0.05,8.38,5.05
60,0.05,9.03,6.06
70,0.05,10.34,7.08
80,0.05,11.13,8.09
90,0.05,11.39,9.1
100,0.05,12.65,10.11
110,0.05,13.35,11.12
120,0.05,13.65,12.13
130,0.05,14.42,13.14
140,0.05,15.28,14.15
150,0.05,15.8,15.16
160,0.05,16.28,16.18
170,0.05,16.93,17.19
180,0.05,17.79,18.2
190,0.05,17.89,19.21
