"sim_number","migration_rates","area","K_num","island_species"
"1","0.039","90","9","13"
"1","0.039","100","10","13"
"1","0.039","110","11","15"
"1","0.039","120","12","12"
"1","0.039","130","13","18"
"1","0.039","140","14","16"
"1","0.039","150","15","15"
"1","0.039","160","16","16"
"1","0.039","170","17","19"
"1","0.039","180","18","21"
"1","0.039","190","19","20"
"1","0.039","200","20","20"
"1","0.04","10","1","3"
"1","0.04","20","2","3"
"1","0.04","30","3","6"
"1","0.04","40","4","6"
"1","0.04","50","5","8"
"1","0.04","60","6","7"
"1","0.04","70","7","12"
"1","0.04","80","8","11"
"1","0.04","90","9","12"
"1","0.04","100","10","12"
"1","0.04","110","11","11"
"1","0.04","120","12","14"
"1","0.04","130","13","16"
"1","0.04","140","14","17"
"1","0.04","150","15","18"
"1","0.04","160","16","14"
"1","0.04","170","17","14"
"1","0.04","180","18","17"
"1","0.04","190","19","20"
"1","0.04","200","20","15"
"1","0.041","10","1","2"
"1","0.041","20","2","3"
"1","0.041","30","3","4"
"1","0.041","40","4","9"
"1","0.041","50","5","7"
"1","0.041","60","6","9"
"1","0.041","70","7","10"
"1","0.041","80","8","8"
"1","0.041","90","9","13"
"1","0.041","100","10","13"
"1","0.041","110","11","13"
"1","0.041","120","12","15"
"1","0.041","130","13","16"
"1","0.041","140","14","18"
"1","0.041","150","15","20"
"1","0.041","160","16","17"
"1","0.041","170","17","20"
"1","0.041","180","18","15"
"1","0.041","190","19","18"
"1","0.041","200","20","15"
"1","0.042","10","1","1"
"1","0.042","20","2","3"
"1","0.042","30","3","5"
"1","0.042","40","4","7"
"1","0.042","50","5","8"
"1","0.042","60","6","11"
"1","0.042","70","7","9"
"1","0.042","80","8","12"
"1","0.042","90","9","11"
"1","0.042","100","10","11"
"1","0.042","110","11","17"
"1","0.042","120","12","15"
"1","0.042","130","13","16"
"1","0.042","140","14","18"
"1","0.042","150","15","18"
"1","0.042","160","16","18"
"1","0.042","170","17","15"
"1","0.042","180","18","15"
"1","0.042","190","19","17"
"1","0.042","200","20","16"
"1","0.043","10","1","2"
