"migration_rate","area","niches","mean_sp"
0.042,19,19,19
0.042,19,1,2.17
0.042,20,20,20
0.042,20,10,10.56
0.042,20,5,6.05
0.042,20,4,5.06
0.042,20,2,3.42
0.042,20,1,2.34
0.045,1,1,1
0.045,2,2,2
0.045,2,1,1.07
0.045,3,3,3
0.045,3,1,1.1
0.045,4,4,4
0.045,4,2,2.17
0.045,4,1,1.26
0.045,5,5,5
0.045,5,1,1.32
0.045,6,6,6
0.045,6,3,3.22
0.045,6,2,2.4
0.045,6,1,1.41
0.045,7,7,7
0.045,7,1,1.56
0.045,8,8,8
0.045,8,4,4.17
0.045,8,2,2.46
0.045,8,1,1.61
0.045,9,9,9
0.045,9,3,3.42
0.045,9,1,1.64
0.045,10,10,10
0.045,10,5,5.31
0.045,10,2,2.63
0.045,10,1,1.67
0.045,11,11,11
0.045,11,1,1.79
0.045,12,12,12
0.045,12,6,6.45
0.045,12,4,4.55
0.045,12,3,3.61
0.045,12,2,2.7
0.045,12,1,1.95
0.045,13,13,13
0.045,13,1,1.98
0.045,14,14,14
0.045,14,7,7.49
0.045,14,2,2.78
0.045,14,1,1.96
0.045,15,15,15
0.045,15,5,5.61
0.045,15,3,3.81
0.045,15,1,2.12
0.045,16,16,16
0.045,16,8,8.54
0.045,16,4,4.88
0.045,16,2,3.03
0.045,16,1,2.23
0.045,17,17,17
0.045,17,1,2
0.045,18,18,18
0.045,18,9,9.55
0.045,18,6,6.89
0.045,18,3,4.1
0.045,18,2,3.34
0.045,18,1,2.2
0.045,19,19,19
0.045,19,1,2.24
0.045,20,20,20
0.045,20,10,10.56
0.045,20,5,6.09
0.045,20,4,5.33
0.045,20,2,3.31
0.045,20,1,2.41
0.048,1,1,1
0.048,2,2,2
0.048,2,1,1.06
0.048,3,3,3
0.048,3,1,1.2
0.048,4,4,4
0.048,4,2,2.14
0.048,4,1,1.22
0.048,5,5,5
0.048,5,1,1.28
0.048,6,6,6
0.048,6,3,3.24
0.048,6,2,2.25
0.048,6,1,1.41
0.048,7,7,7
0.048,7,1,1.45
0.048,8,8,8
0.048,8,4,4.32
0.048,8,2,2.45
0.048,8,1,1.6
0.048,9,9,9
0.048,9,3,3.5
0.048,9,1,1.64
0.048,10,10,10
0.048,10,5,5.33
0.048,10,2,2.54
0.048,10,1,1.75
0.048,11,11,11
0.048,11,1,1.72
0.048,12,12,12
0.048,12,6,6.38
0.048,12,4,4.54
0.048,12,3,3.7
0.048,12,2,2.76
0.048,12,1,1.89
0.048,13,13,13
0.048,13,1,1.84
0.048,14,14,14
0.048,14,7,7.56
0.048,14,2,2.84
0.048,14,1,1.82
0.048,15,15,15
0.048,15,5,5.77
0.048,15,3,4.01
0.048,15,1,2.12
0.048,16,16,16
0.048,16,8,8.58
0.048,16,4,4.87
0.048,16,2,2.96
0.048,16,1,2.17
0.048,17,17,17
0.048,17,1,2.26
0.048,18,18,18
0.048,18,9,9.64
0.048,18,6,6.76
0.048,18,3,4.15
0.048,18,2,3.39
0.048,18,1,2.38
0.048,19,19,19
0.048,19,1,2.45
0.048,20,20,20
0.048,20,10,10.67
0.048,20,5,6.1
0.048,20,4,5.08
0.048,20,2,3.54
0.048,20,1,2.43
0.051,1,1,1
0.051,2,2,2
0.051,2,1,1.08
0.051,3,3,3
0.051,3,1,1.14
0.051,4,4,4
0.051,4,2,2.17
0.051,4,1,1.19
0.051,5,5,5
0.051,5,1,1.35
0.051,6,6,6
0.051,6,3,3.26
0.051,6,2,2.33
0.051,6,1,1.44
0.051,7,7,7
0.051,7,1,1.45
0.051,8,8,8
0.051,8,4,4.27
0.051,8,2,2.47
0.051,8,1,1.6
0.051,9,9,9
0.051,9,3,3.55
0.051,9,1,1.77
0.051,10,10,10
0.051,10,5,5.42
0.051,10,2,2.68
0.051,10,1,1.81
0.051,11,11,11
0.051,11,1,1.76
0.051,12,12,12
0.051,12,6,6.4
0.051,12,4,4.64
0.051,12,3,3.73
0.051,12,2,2.74
0.051,12,1,1.9
0.051,13,13,13
0.051,13,1,1.92
0.051,14,14,14
0.051,14,7,7.49
0.051,14,2,3.05
0.051,14,1,2.03
0.051,15,15,15
0.051,15,5,5.75
0.051,15,3,4.05
0.051,15,1,2.12
0.051,16,16,16
0.051,16,8,8.69
0.051,16,4,4.78
0.051,16,2,3.19
0.051,16,1,2.19
0.051,17,17,17
0.051,17,1,2.32
0.051,18,18,18
0.051,18,9,9.68
0.051,18,6,7.01
0.051,18,3,4.22
0.051,18,2,3.34
0.051,18,1,2.37
0.051,19,19,19
0.051,19,1,2.46
0.051,20,20,20
0.051,20,10,10.57
0.051,20,5,6.05
